,OPID,WoPC,Average_NO2,current_no2_y
797,59216666023,1093,23.065123853035118,17.15587214
798,59244211755,1093,23.065123853035118,23.14796098
799,58996184413,1068,21.370717338288518,28.25453156333333
802,59061618531,1068,21.370717338288518,30.0391381
803,59151192566,1068,21.370717338288518,22.215124849999995
806,58996185250,1033,25.786394434640624,33.02805363
808,59092609975,1033,25.786394434640624,29.75233838
809,59123668038,1033,25.786394434640624,28.579815435
811,59151192039,1033,25.786394434640624,25.39173711
812,59185616330,1033,25.786394434640624,26.965703855
814,59244208500,1033,25.786394434640624,24.70179306
815,59275216932,1033,25.786394434640624,34.97904366
816,58996191760,1097,29.82096912737676,30.96068391
820,58996192287,1097,29.82096912737676,31.524982985
822,58999637503,1097,29.82096912737676,32.24203463
823,59061620174,1097,29.82096912737676,31.32864835
824,59151193961,1097,29.82096912737676,29.061406055
826,59151196069,1097,29.82096912737676,20.56354218
827,59151211476,1097,29.82096912737676,30.559567289999997
829,59154697209,1097,29.82096912737676,27.99656507
830,59182185219,1097,29.82096912737676,30.176014445
832,59213190086,1097,29.82096912737676,32.70104407666667
835,59216671324,1097,29.82096912737676,26.01608063
836,59244211476,1097,29.82096912737676,30.36825056
837,59247832090,1097,29.82096912737676,27.93287131
838,58999626033,1062,36.50650768794424,35.845266800000005
840,58999636139,1062,36.50650768794424,22.68266758
841,59061620639,1062,36.50650768794424,29.337716545
843,59151197278,1062,36.50650768794424,31.688828753333336
846,59182185467,1062,36.50650768794424,34.54617182
847,59275216281,1062,36.50650768794424,28.823812866666668
850,59027182925,1015,29.541875114277442,30.71411217
852,59027186924,1015,29.541875114277442,31.069604593999998
857,59058191791,1015,29.541875114277442,24.104417
858,59089189466,1015,29.541875114277442,36.100737462
863,59151189900,1015,29.541875114277442,40.14857331
864,59182195976,1015,29.541875114277442,35.985478805
868,59185632016,1015,29.541875114277442,30.270872044999997
870,59185633349,1015,29.541875114277442,29.626282083333336
873,59244220962,1015,29.541875114277442,39.321817635
875,59247807972,1015,29.541875114277442,30.446400009999998
877,59247808933,1015,29.541875114277442,39.40329347
879,59027184537,1022,28.245792272716205,26.29544154
880,59027189280,1082,22.270197901912326,21.7508166
881,59058188629,1082,22.270197901912326,28.976894045
883,59244214669,1082,22.270197901912326,21.10390554
884,59247830540,1082,22.270197901912326,21.29571856
885,59030594568,1035,38.21273278754068,34.0399546
886,59092603527,1035,38.21273278754068,32.443778545
888,59185617787,1035,38.21273278754068,24.974923653333335
891,59244209492,1035,38.21273278754068,30.033324943333337
894,59058189373,1059,32.417005364267304,28.897707529999998
896,59095729505,1059,32.417005364267304,19.92922144
897,59182187575,1059,32.417005364267304,9.098576361
898,59275222915,1059,32.417005364267304,54.569533585
900,59089180631,1086,21.369629515526068,24.143549471999997
902,59089184320,1108,36.955444253561105,34.48460252
903,59092595374,1107,17.912189955658484,26.8340087
904,59275226511,1107,17.912189955658484,29.59235951
905,59151189032,1043,35.57951307221789,30.769491995
907,59154682453,1104,26.342324672700514,29.55130231
908,59182185095,1104,26.342324672700514,24.24939318
909,59275227503,1104,26.342324672700514,32.38332825
910,59213190923,1081,27.31671948079553,34.8557199
912,59213193713,1081,27.31671948079553,22.51575321
917,59244207446,1081,27.31671948079553,28.860599645714284
